video_path,video_name,exercise,subject_id,view,total_frames,fps,duration_sec,width,height
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #1/Front view V1-seg01.mp4,Front view V1-seg01.mp4,Dumbbell shoulder press,volunteer_001,front,65,30.0,2.1666666666666665,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #1/Front view V1-seg02.mp4,Front view V1-seg02.mp4,Dumbbell shoulder press,volunteer_001,front,63,30.0,2.1,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #1/Front view V1-seg03.mp4,Front view V1-seg03.mp4,Dumbbell shoulder press,volunteer_001,front,58,30.0,1.9333333333333333,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #1/Front view V1-seg04.mp4,Front view V1-seg04.mp4,Dumbbell shoulder press,volunteer_001,front,56,30.0,1.8666666666666667,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #1/Front view V1-seg05.mp4,Front view V1-seg05.mp4,Dumbbell shoulder press,volunteer_001,front,46,30.0,1.5333333333333334,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #1/Front view V1-seg06.mp4,Front view V1-seg06.mp4,Dumbbell shoulder press,volunteer_001,front,53,30.0,1.7666666666666666,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #1/Front view V1-seg07.mp4,Front view V1-seg07.mp4,Dumbbell shoulder press,volunteer_001,front,50,30.0,1.6666666666666667,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #1/Front view V1-seg08.mp4,Front view V1-seg08.mp4,Dumbbell shoulder press,volunteer_001,front,46,30.0,1.5333333333333334,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #1/Front view V1-seg09.mp4,Front view V1-seg09.mp4,Dumbbell shoulder press,volunteer_001,front,55,30.0,1.8333333333333333,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #1/Front view V1-seg10.mp4,Front view V1-seg10.mp4,Dumbbell shoulder press,volunteer_001,front,55,30.0,1.8333333333333333,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #1/Front view V1-seg11.mp4,Front view V1-seg11.mp4,Dumbbell shoulder press,volunteer_001,front,55,30.0,1.8333333333333333,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #10/Front view V10-seg01.mp4,Front view V10-seg01.mp4,Dumbbell shoulder press,volunteer_010,front,67,30.0,2.2333333333333334,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #10/Front view V10-seg02.mp4,Front view V10-seg02.mp4,Dumbbell shoulder press,volunteer_010,front,69,30.0,2.3,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #10/Front view V10-seg03.mp4,Front view V10-seg03.mp4,Dumbbell shoulder press,volunteer_010,front,66,30.0,2.2,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #10/Front view V10-seg04.mp4,Front view V10-seg04.mp4,Dumbbell shoulder press,volunteer_010,front,72,30.0,2.4,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #10/Front view V10-seg05.mp4,Front view V10-seg05.mp4,Dumbbell shoulder press,volunteer_010,front,59,30.0,1.9666666666666666,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #10/Front view V10-seg06.mp4,Front view V10-seg06.mp4,Dumbbell shoulder press,volunteer_010,front,60,30.0,2.0,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #10/Front view V10-seg07.mp4,Front view V10-seg07.mp4,Dumbbell shoulder press,volunteer_010,front,68,30.0,2.2666666666666666,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #10/Front view V10-seg08.mp4,Front view V10-seg08.mp4,Dumbbell shoulder press,volunteer_010,front,69,30.0,2.3,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #10/Front view V10-seg09.mp4,Front view V10-seg09.mp4,Dumbbell shoulder press,volunteer_010,front,69,30.0,2.3,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #10/Front view V10-seg10.mp4,Front view V10-seg10.mp4,Dumbbell shoulder press,volunteer_010,front,60,30.0,2.0,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #2/Front view V2-seg01.mp4,Front view V2-seg01.mp4,Dumbbell shoulder press,volunteer_002,front,59,29.111842105263158,2.026666666666667,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #2/Front view V2-seg02.mp4,Front view V2-seg02.mp4,Dumbbell shoulder press,volunteer_002,front,91,30.249307479224377,3.0083333333333333,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #2/Front view V2-seg03.mp4,Front view V2-seg03.mp4,Dumbbell shoulder press,volunteer_002,front,82,29.764065335753177,2.755,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #2/Front view V2-seg04.mp4,Front view V2-seg04.mp4,Dumbbell shoulder press,volunteer_002,front,81,30.0,2.7,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #2/Front view V2-seg05.mp4,Front view V2-seg05.mp4,Dumbbell shoulder press,volunteer_002,front,76,30.0,2.533333333333333,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #2/Front view V2-seg06.mp4,Front view V2-seg06.mp4,Dumbbell shoulder press,volunteer_002,front,78,30.038510911424904,2.5966666666666667,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #2/Front view V2-seg07.mp4,Front view V2-seg07.mp4,Dumbbell shoulder press,volunteer_002,front,78,30.0,2.6,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #2/Front view V2-seg08.mp4,Front view V2-seg08.mp4,Dumbbell shoulder press,volunteer_002,front,75,30.0,2.5,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #2/Front view V2-seg09.mp4,Front view V2-seg09.mp4,Dumbbell shoulder press,volunteer_002,front,83,30.127041742286753,2.755,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #2/Front view V2-seg10.mp4,Front view V2-seg10.mp4,Dumbbell shoulder press,volunteer_002,front,81,30.0,2.7,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #3/Front view V3-seg01.mp4,Front view V3-seg01.mp4,Dumbbell shoulder press,volunteer_003,front,67,29.799851742031134,2.2483333333333335,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #3/Front view V3-seg02.mp4,Front view V3-seg02.mp4,Dumbbell shoulder press,volunteer_003,front,73,29.938482570061517,2.4383333333333335,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #3/Front view V3-seg03.mp4,Front view V3-seg03.mp4,Dumbbell shoulder press,volunteer_003,front,69,30.0,2.3,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #3/Front view V3-seg04.mp4,Front view V3-seg04.mp4,Dumbbell shoulder press,volunteer_003,front,74,30.0,2.466666666666667,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #3/Front view V3-seg05.mp4,Front view V3-seg05.mp4,Dumbbell shoulder press,volunteer_003,front,76,30.0,2.533333333333333,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #3/Front view V3-seg06.mp4,Front view V3-seg06.mp4,Dumbbell shoulder press,volunteer_003,front,81,29.4010889292196,2.755,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #3/Front view V3-seg07.mp4,Front view V3-seg07.mp4,Dumbbell shoulder press,volunteer_003,front,82,30.0,2.7333333333333334,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #3/Front view V3-seg08.mp4,Front view V3-seg08.mp4,Dumbbell shoulder press,volunteer_003,front,77,30.0,2.566666666666667,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #3/Front view V3-seg09.mp4,Front view V3-seg09.mp4,Dumbbell shoulder press,volunteer_003,front,72,30.0,2.4,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #3/Front view V3-seg10.mp4,Front view V3-seg10.mp4,Dumbbell shoulder press,volunteer_003,front,82,30.0,2.7333333333333334,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #3/Front view V3-seg11.mp4,Front view V3-seg11.mp4,Dumbbell shoulder press,volunteer_003,front,82,30.0,2.7333333333333334,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #31/Front view V31-seg01.mp4,Front view V31-seg01.mp4,Dumbbell shoulder press,volunteer_031,front,67,29.97002997002997,2.2355666666666667,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #31/Front view V31-seg02.mp4,Front view V31-seg02.mp4,Dumbbell shoulder press,volunteer_031,front,55,30.0,1.8333333333333333,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #31/Front view V31-seg03.mp4,Front view V31-seg03.mp4,Dumbbell shoulder press,volunteer_031,front,53,30.0,1.7666666666666666,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #31/Front view V31-seg04.mp4,Front view V31-seg04.mp4,Dumbbell shoulder press,volunteer_031,front,48,30.0,1.6,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #31/Front view V31-seg05.mp4,Front view V31-seg05.mp4,Dumbbell shoulder press,volunteer_031,front,53,30.0,1.7666666666666666,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #31/Front view V31-seg06.mp4,Front view V31-seg06.mp4,Dumbbell shoulder press,volunteer_031,front,52,30.0,1.7333333333333334,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #31/Front view V31-seg07.mp4,Front view V31-seg07.mp4,Dumbbell shoulder press,volunteer_031,front,45,30.0,1.5,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #31/Front view V31-seg08.mp4,Front view V31-seg08.mp4,Dumbbell shoulder press,volunteer_031,front,49,30.0,1.6333333333333333,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #31/Front view V31-seg09.mp4,Front view V31-seg09.mp4,Dumbbell shoulder press,volunteer_031,front,59,30.0,1.9666666666666666,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #31/Front view V31-seg10.mp4,Front view V31-seg10.mp4,Dumbbell shoulder press,volunteer_031,front,50,30.0,1.6666666666666667,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #31/Front view V31-seg11.mp4,Front view V31-seg11.mp4,Dumbbell shoulder press,volunteer_031,front,59,29.97002997002997,1.9686333333333335,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #4/Front view V4_-seg01.mp4,Front view V4_-seg01.mp4,Dumbbell shoulder press,volunteer_004,front,66,29.355077835433654,2.2483333333333335,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #4/Front view V4_-seg02.mp4,Front view V4_-seg02.mp4,Dumbbell shoulder press,volunteer_004,front,73,29.938482570061517,2.4383333333333335,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #4/Front view V4_-seg03.mp4,Front view V4_-seg03.mp4,Dumbbell shoulder press,volunteer_004,front,82,30.11015911872705,2.723333333333333,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #4/Front view V4_-seg04.mp4,Front view V4_-seg04.mp4,Dumbbell shoulder press,volunteer_004,front,63,30.0,2.1,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #4/Front view V4_-seg05.mp4,Front view V4_-seg05.mp4,Dumbbell shoulder press,volunteer_004,front,64,30.0,2.1333333333333333,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #4/Front view V4_-seg06.mp4,Front view V4_-seg06.mp4,Dumbbell shoulder press,volunteer_004,front,63,30.0,2.1,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #4/Front view V4_-seg07.mp4,Front view V4_-seg07.mp4,Dumbbell shoulder press,volunteer_004,front,56,30.0,1.8666666666666667,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #4/Front view V4_-seg08.mp4,Front view V4_-seg08.mp4,Dumbbell shoulder press,volunteer_004,front,62,30.0,2.066666666666667,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #4/Front view V4_-seg09.mp4,Front view V4_-seg09.mp4,Dumbbell shoulder press,volunteer_004,front,61,30.0,2.033333333333333,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #4/Front view V4_-seg10.mp4,Front view V4_-seg10.mp4,Dumbbell shoulder press,volunteer_004,front,59,30.0,1.9666666666666666,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #46/Front view V46-seg01.mp4,Front view V46-seg01.mp4,Dumbbell shoulder press,volunteer_046,front,61,29.1866028708134,2.09,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #46/Front view V46-seg02.mp4,Front view V46-seg02.mp4,Dumbbell shoulder press,volunteer_046,front,80,30.0,2.6666666666666665,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #46/Front view V46-seg03.mp4,Front view V46-seg03.mp4,Dumbbell shoulder press,volunteer_046,front,88,30.205949656750573,2.913333333333333,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #46/Front view V46-seg04.mp4,Front view V46-seg04.mp4,Dumbbell shoulder press,volunteer_046,front,76,30.379746835443036,2.501666666666667,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #46/Front view V46-seg05.mp4,Front view V46-seg05.mp4,Dumbbell shoulder press,volunteer_046,front,89,30.0,2.966666666666667,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #46/Front view V46-seg06.mp4,Front view V46-seg06.mp4,Dumbbell shoulder press,volunteer_046,front,80,30.0,2.6666666666666665,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #46/Front view V46-seg07.mp4,Front view V46-seg07.mp4,Dumbbell shoulder press,volunteer_046,front,82,30.0,2.7333333333333334,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #46/Front view V46-seg08.mp4,Front view V46-seg08.mp4,Dumbbell shoulder press,volunteer_046,front,73,30.0,2.433333333333333,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #46/Front view V46-seg09.mp4,Front view V46-seg09.mp4,Dumbbell shoulder press,volunteer_046,front,77,30.019493177387915,2.565,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #46/Front view V46-seg10.mp4,Front view V46-seg10.mp4,Dumbbell shoulder press,volunteer_046,front,84,30.0,2.8,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #5/Front view V5-seg01.mp4,Front view V5-seg01.mp4,Dumbbell shoulder press,volunteer_005,front,89,30.0,2.966666666666667,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #5/Front view V5-seg02.mp4,Front view V5-seg02.mp4,Dumbbell shoulder press,volunteer_005,front,73,30.0,2.433333333333333,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #5/Front view V5-seg03.mp4,Front view V5-seg03.mp4,Dumbbell shoulder press,volunteer_005,front,58,30.0,1.9333333333333333,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #5/Front view V5-seg04.mp4,Front view V5-seg04.mp4,Dumbbell shoulder press,volunteer_005,front,67,30.0,2.2333333333333334,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #5/Front view V5-seg05.mp4,Front view V5-seg05.mp4,Dumbbell shoulder press,volunteer_005,front,66,30.0,2.2,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #5/Front view V5-seg06.mp4,Front view V5-seg06.mp4,Dumbbell shoulder press,volunteer_005,front,55,30.0,1.8333333333333333,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #5/Front view V5-seg07.mp4,Front view V5-seg07.mp4,Dumbbell shoulder press,volunteer_005,front,57,30.0,1.9,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #5/Front view V5-seg08.mp4,Front view V5-seg08.mp4,Dumbbell shoulder press,volunteer_005,front,57,30.0,1.9,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #5/Front view V5-seg09.mp4,Front view V5-seg09.mp4,Dumbbell shoulder press,volunteer_005,front,57,30.0,1.9,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #5/Front view V5-seg10.mp4,Front view V5-seg10.mp4,Dumbbell shoulder press,volunteer_005,front,54,30.0,1.8,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #5/Front view V5-seg11.mp4,Front view V5-seg11.mp4,Dumbbell shoulder press,volunteer_005,front,56,30.0,1.8666666666666667,720,1280
/mnt/d/Graduation_Project/ai-virtual-coach/datasets/Clips/1) Dumbbell shoulder press/Volunteer #50/Front view V50-seg01.mp4,Front view V50-seg01.mp4,Dumbbell shoulder press,volunteer_050,front,82,30.0,2.7333333333333334,720,1280
